ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
0.494173947351886,0.5510552973753863,0.4598955274294204,0.5225233984459493,0.7611525672819499,0.8027482543883282,0.28116237315258236,0.7539323268541254,0.2626646516353904,0
0.0,0.077214414481097,0.4113397849246388,0.43887845851086815,0.4949937753905602,0.8643052602749699,0.5483256696567627,0.3710215279960562,0.6250793147341329,0
0.6609642246905196,0.6725225324732617,0.4400851729232834,0.7710397824410945,0.4949937753905602,0.48889100469126806,0.6423083123408289,0.497039805358844,0.2845384939834728,0
0.6951335323673618,0.6105961848314582,0.4874640041050189,0.6180118745505169,0.6738146660328974,0.36968390743109575,0.7295712158528052,0.9206581223162398,0.6552775951181644,0
0.8168788090745844,0.40169073559752155,0.3967125560823011,0.427727840422782,0.3227420668070984,0.4453881467244802,0.3467531826300236,0.06717093780909622,0.5247640990072964,0
0.2661083955875573,0.44697182988255324,0.6386689039417268,0.5532983754195523,0.44696908361309085,0.19132765787470457,0.17096009874112145,0.3533980489498045,0.1675713645733336,0
0.9945438066554737,0.8221792416806243,0.6386920174678968,0.5493410349455939,0.9499938802260082,0.19818569562687088,0.47094565174839215,0.7241179029066274,0.1942731269974331,0
0.7452288945786925,0.5414555282909733,0.29995216846589695,0.17821526856874348,0.27148240164084303,0.6095235435470607,0.39158644829771055,0.4518103741967781,0.6016890815757325,0
0.494173947351886,0.011699918003192367,0.31373512308091694,0.5859158803483314,0.011181517385295603,0.4259253435453178,0.4106338482518103,0.3410470528574742,0.4116078176312071,0
1.0000000000000002,0.6913286704762086,0.565334569007435,0.7460477123721351,1.0,0.8018366991941863,0.701257822685238,0.5664304015218777,0.5944143033149287,0
0.5450237112153484,0.30386352654162463,0.7218827774318501,0.5540319876062192,0.44656349904292814,0.50348976744954,0.5709665249077553,0.6508930405496929,0.42746535964643323,0
0.6414018768554179,0.6377197455151592,0.41443113422485867,0.6244336342912927,0.4949937753905602,0.37147550103830057,0.5119115313761755,0.6227434114385269,0.5098299144943794,0
0.5072161280358574,0.24851140307713948,0.4136034042552266,0.05783931472833914,0.11404010485172833,0.33618448560630804,0.5900413746217998,0.6603935704599395,0.376424972392806,0
0.494173947351886,0.20751080447524406,0.6068267055354866,0.4644106636624111,0.24224044478454942,0.40521643048714356,0.7815699826199467,0.6230441807581544,0.6046471623820311,0
0.5663113981091041,0.5539091513765791,0.6305656611090823,0.2423105810572752,0.4949937753905602,0.5449818469109902,0.43970105364176,0.5454953864799401,0.6903074251318662,0
0.3859269223679205,0.43704864160583823,0.915377294064228,0.8155326976100054,0.7308985965884567,0.7002878095895162,0.34572363739580997,0.6050814757059202,0.5957782259493674,0
0.49653420736826237,0.5897257347572306,0.6888119403833523,0.8740493804656914,0.4949937753905602,0.2660174338143089,0.8386853477512846,0.37504930475328874,0.5703401423665488,0
0.830904467597033,0.983806964672412,0.5329114697887695,0.4728090773321276,0.9851918662627357,0.6167763828607353,0.448552065672327,0.5599460613850229,0.6257875214035877,0
0.7985478642033523,0.9999999999999999,0.4299945361136345,0.38467313311248263,0.4949937753905602,0.5165448266007933,0.4208028252376162,0.4645848696863049,0.1384318214317926,0
0.5466580911095154,0.6113698281511778,0.5686104285543278,0.16182009789830176,0.5151259680355262,0.5994141631157079,0.39967594566465364,0.45179748877978004,0.16771065249759737,0
0.494173947351886,0.6926068903993116,0.4939152283465788,0.9041281143001331,0.4949937753905602,0.7823089553421572,0.6124239873006927,0.23432281131989002,0.5385173348081971,0
0.43505791366601443,0.32121136329270594,0.6879978212945052,0.3412067693796409,0.3287130346483549,0.7152114300026657,0.6988328075867283,0.6296919123575007,0.4480689621597435,0
0.494173947351886,0.620670197772713,0.3771272055464716,0.3095447632840186,0.44896372094845605,0.5269107826917343,0.49317295619491225,0.41505978792175674,0.8510331666002446,0
0.0020988635343206496,0.5009057058415539,0.4683469604002171,0.48429629863785006,0.4949937753905602,0.5446232546918852,0.6278597131216364,0.7937783831831906,0.6316478106519461,0
0.23725454314709904,0.14826550412294237,0.3807076565929715,0.8692765287103771,0.4595841432660146,0.6057892613248366,0.3299506256430757,0.37854977061809264,0.7014812074168078,0
0.4121680889044075,0.512609930006655,0.46949730202127976,0.6949445689149475,0.4238246682754161,0.47744033348090614,0.532741136749669,0.66472776896969,0.790132801917278,0
0.0,0.570116319947103,0.7437235776387601,0.7089335560701943,0.8774791215881597,0.5388222556723639,0.4718476683446932,0.045773771438886834,0.550532679154339,0
0.494173947351886,0.1798420208464624,0.28990618307687366,0.5987803964329877,0.27668064720705665,0.2312274667276621,0.4119404229807984,0.2861990693333472,0.5082159876609071,0
0.494173947351886,0.9373895816830468,0.5850703187516079,0.5728200501739018,0.962956007217878,0.3722980996579937,0.27944635863719086,0.3295521412289109,0.5050793744497242,0
0.494173947351886,0.19481606292769704,0.33413078040797256,0.742227860179619,0.2992827701895928,0.8016627813421733,0.6256124438504731,0.3254036187200327,0.9874958126115303,0
0.5168910027585742,0.5807860328433846,0.3341940573084975,0.3583025960486702,0.5345154673362549,0.32411348173289295,0.1444044321004886,0.560952495639127,0.7637269595906755,0
